tiger_1.02	fast_tiger	tiger-calculator
0.0305611222445	0.0455912	0.045591182364729456
0.0270541082164	0.0410822	0.041082164328657314
0.0285571142285	0.0460922	0.04609218436873747
0.0380761523046	0.0502672	0.05026720106880428
0.0260521042084	0.0457582	0.04575818303273214
0.0485971943888	0.0621242	0.06212424849699399
0.0275551102204	0.0420842	0.04208416833667335
0.0425851703407	0.0521042	0.052104208416833664
0.0806613226453	0.0769873	0.07698730794923181
0.0330661322645	0.0432532	0.04325317301269205
0.0435871743487	0.0756513	0.07565130260521043
0.0375751503006	0.0501002	0.050100200400801605
0.0355711422846	0.0502672	0.05026720106880428
0.0551102204409	0.0552772	0.05527722110888444
0.0295591182365	0.0400802	0.04008016032064128
0.0741482965932	0.0714763	0.07147628590514361
0.0275551102204	0.0455912	0.045591182364729456
0.0532732130929	0.0512692	0.05126920507682031
0.0365731462926	0.0440882	0.04408817635270541
0.0380761523046	0.0531062	0.0531062124248497
0.0420841683367	0.0445892	0.04458917835671343
0.0275551102204	0.0460922	0.04609218436873747
0.0325651302605	0.0511022	0.05110220440881764
0.0260521042084	0.0405812	0.0405811623246493
0.0340681362725	0.0410822	0.041082164328657314
0.0255511022044	0.0447562	0.044756179024716104
0.0310621242485	0.0402472	0.040247160988643955
0.0430861723447	0.0531062	0.0531062124248497
0.0440881763527	0.0425852	0.042585170340681364
0.0295591182365	0.0435872	0.0435871743486974
0.0300601202405	0.0475952	0.04759519038076152
0.0330661322645	0.0415832	0.04158316633266533
0.0270541082164	0.0400802	0.04008016032064128
0.0495991983968	0.0460922	0.04609218436873747
0.0485971943888	0.0636273	0.06362725450901803
0.0370741482966	0.0480962	0.04809619238476954
0.0295591182365	0.0440882	0.04408817635270541
0.0385771543086	0.0457582	0.04575818303273214
0.0460921843687	0.0561122	0.056112224448897796
0.0275551102204	0.0475952	0.04759519038076152
0.0382431529726	0.0477622	0.047762191048764197
0.0360721442886	0.0502672	0.05026720106880428
0.0260521042084	0.0425852	0.042585170340681364
0.0285571142285	0.0410822	0.041082164328657314
0.0405811623246	0.0495992	0.04959919839679359
0.0370741482966	0.0521042	0.052104208416833664
0.0325651302605	0.0412492	0.04124916499665999
0.0440881763527	0.0501002	0.050100200400801605
0.0310621242485	0.0567802	0.05678022712090849
0.0325651302605	0.0511022	0.05110220440881764
0.0385771543086	0.0536072	0.053607214428857713
0.0506012024048	0.0455912	0.045591182364729456
0.0581162324649	0.0470942	0.047094188376753505
0.0415831663327	0.0532732	0.05327321309285238
0.0310621242485	0.0492652	0.04926519706078824
0.0355711422846	0.0495992	0.04959919839679359
0.0501002004008	0.0495992	0.04959919839679359
0.0260521042084	0.0455912	0.045591182364729456
0.0365731462926	0.0490982	0.04909819639278557
0.0270541082164	0.0470942	0.047094188376753505
0.0395791583166	0.0470942	0.047094188376753505
0.0455911823647	0.0532732	0.05327321309285238
0.0245490981964	0.0360721	0.036072144288577156
0.0325651302605	0.0440882	0.04408817635270541
0.0300601202405	0.0435872	0.0435871743486974
0.0455911823647	0.0621242	0.06212424849699399
0.0260521042084	0.0380762	0.03807615230460922
0.0270541082164	0.0437542	0.043754175016700064
0.0300601202405	0.0497662	0.04976619906479626
0.0380761523046	0.0405812	0.0405811623246493
0.0380761523046	0.0435872	0.0435871743486974
0.0395791583166	0.0506012	0.05060120240480962
0.0659652638611	0.0576152	0.057615230460921846
0.0521042084168	0.0606212	0.06062124248496994
0.0377421509686	0.0427522	0.04275217100868403
0.0400801603206	0.0465932	0.04659318637274549
0.0526052104208	0.0591182	0.05911823647294589
0.0395791583166	0.0485972	0.048597194388777555
0.0375751503006	0.0517702	0.05177020708082833
0.0390781563126	0.0641283	0.06412825651302605
0.0310621242485	0.0512692	0.05126920507682031
0.0355711422846	0.0723113	0.07231128924515698
0.0748162992652	0.0741483	0.07414829659318638
0.0375751503006	0.0400802	0.04008016032064128
0.0475951903808	0.0497662	0.04976619906479626
0.061122244489	0.0681363	0.06813627254509018
0.0380761523046	0.0455912	0.045591182364729456
0.0260521042084	0.0430862	0.04308617234468938
0.0370741482966	0.0516032	0.051603206412825654
0.0681362725451	0.0900134	0.09001336005344023
0.0425851703407	0.0475952	0.04759519038076152
0.0536072144289	0.0571142	0.05711422845691383
0.0392451569806	0.0592852	0.05928523714094857
0.0435871743487	0.0447562	0.044756179024716104
0.0415831663327	0.0410822	0.041082164328657314
0.0300601202405	0.0395792	0.039579158316633264
0.0400801603206	0.0455912	0.045591182364729456
0.0275551102204	0.0430862	0.04308617234468938
0.0280561122244	0.0501002	0.050100200400801605
0.0405811623246	0.0420842	0.04208416833667335
0.0400801603206	0.0512692	0.05126920507682031
0.0315631262525	0.0462592	0.046259185036740154
0.0310621242485	0.0531062	0.0531062124248497
0.0400801603206	0.0511022	0.05110220440881764
0.0285571142285	0.0410822	0.041082164328657314
0.0310621242485	0.0470942	0.047094188376753505
0.0287241148965	0.0447562	0.044756179024716104
0.0440881763527	0.0606212	0.06062124248496994
0.0549432197729	0.0611222	0.061122244488977955
0.0405811623246	0.0506012	0.05060120240480962
0.0335671342685	0.0472612	0.04726118904475619
0.0536072144289	0.0666333	0.06663326653306613
0.0365731462926	0.0566132	0.05661322645290581
0.0300601202405	0.0425852	0.042585170340681364
0.0542752171009	0.0861723	0.08617234468937876
0.0320641282565	0.0596192	0.059619238476953905
0.0340681362725	0.0487642	0.04876419505678023
0.0511022044088	0.0576152	0.057615230460921846
0.0295591182365	0.0420842	0.04208416833667335
0.0295591182365	0.0395792	0.039579158316633264
