Meaning	Basic_vocabulary	Category	Leipzig-Jakarta_rank
they	yes	FunctionWord	404
thick	yes	Adjective	76
thigh	yes	Noun	76
thin	yes	Adjective	-
think	yes	Verb	-
this	yes	FunctionWord	38
three	yes	FunctionWord	-
throw	yes	Verb	-
tie	yes	Verb	88
tired	no	Adjective	495
tongue	yes	Noun	6
tooth	yes	Noun	28
touch	no	Verb	425
trap	no	Noun	409
tree	yes	Noun	80
tree_stump	no	Noun	444
top	no	Noun	488
turn	yes	Verb	-
turtle	no	Noun	498
twist	no	Verb	419
two	yes	FunctionWord	-
uncle	no	Noun	485
untie	no	Verb	403
vomit	yes	Verb	-
vulture	no	Noun	487
walk	yes	Verb	-
warm	yes	Adjective	-
wash	yes	Verb	-
water	yes	Noun	4
we	yes	FunctionWord	-
weep	yes	Verb	87
wet	yes	Adjective	-
what	yes	Adjective	50
when	yes	Adjective	-
where	yes	Adjective	-
whistle	no	Verb	492
white	yes	Adjective	-
who	yes	FunctionWord	34
wide	yes	Adjective	96
wife	yes	Noun	437
wind	yes	Noun	48
wing	yes	Noun	17
wipe	yes	Verb	-
with	yes	FunctionWord	-
woman	yes	Adjective	-
woods	yes	Noun	-
word	no	Noun	415
worm	yes	Noun	-
year	yes	Noun	-
yellow	yes	Adjective	-
yesterday	yes	FunctionWord	41
you_pl	yes	FunctionWord	-
you_sg	yes	FunctionWord	9
younger_brother	no	Noun	455
